global_step,epoch,train/loss,train/accept_len,train/accept_rate
728,0,0.816,1.907,0.283
729,0,0.805,1.915,0.281
730,0,0.832,1.937,0.28
731,0,0.863,1.775,0.213
732,0,0.852,1.615,0.186
733,0,0.828,1.949,0.269
734,0,0.922,1.685,0.235
735,0,0.773,2.107,0.366
736,0,0.883,1.746,0.241
737,0,0.828,1.828,0.242
738,0,1.062,1.198,0.094
739,0,0.898,1.707,0.231
740,0,0.875,1.775,0.264
741,0,0.797,2.117,0.336
742,0,0.688,2.769,0.431
743,0,0.773,2.262,0.367
744,0,0.898,1.484,0.19
745,0,0.938,1.491,0.192
746,0,0.922,1.76,0.239
747,0,0.82,1.809,0.253
748,0,0.949,1.401,0.144
749,0,0.883,1.679,0.24
750,0,0.832,1.847,0.265
751,0,0.887,1.74,0.264
752,0,0.773,1.987,0.31
753,0,0.703,2.324,0.394
754,0,0.875,1.695,0.215
755,0,0.914,1.67,0.205
756,0,0.75,2.259,0.348
757,0,0.781,2.137,0.34
758,0,0.93,1.471,0.164
759,0,0.812,2.029,0.295
760,0,0.953,1.421,0.157
761,0,0.961,1.366,0.152
762,0,0.848,1.899,0.293
763,0,0.832,1.871,0.28
764,0,0.93,1.556,0.197
765,0,0.922,1.484,0.189
766,0,0.922,1.663,0.21
767,0,0.734,2.118,0.346
768,0,0.812,1.941,0.286
769,0,0.773,2.061,0.291
770,0,0.805,1.992,0.278
771,0,0.871,1.714,0.211
772,0,0.914,1.62,0.208
773,0,0.867,1.67,0.201
774,0,0.914,1.7,0.215
775,0,0.797,2.018,0.318
776,0,0.875,1.481,0.16
777,0,0.93,1.487,0.192
778,0,0.789,1.896,0.293
779,0,0.914,1.794,0.261
780,0,0.879,1.559,0.166
781,0,0.891,1.537,0.203
782,0,0.848,1.885,0.266
783,0,0.828,2.217,0.328
784,0,0.891,1.63,0.228
785,0,0.789,1.997,0.276
786,0,0.906,1.425,0.184
787,0,0.844,1.886,0.249
788,0,0.906,1.629,0.2
789,0,0.812,1.951,0.288
790,0,0.824,1.916,0.275
791,0,0.883,1.626,0.176
792,0,0.836,1.876,0.225
793,0,0.828,1.792,0.248
794,0,0.863,1.721,0.223
795,0,0.801,1.938,0.274
796,0,0.797,2.042,0.31
797,0,0.93,1.582,0.211
798,0,0.898,1.489,0.179
799,0,0.793,1.926,0.315
800,0,0.82,2.072,0.307
801,0,0.75,2.116,0.348
802,0,0.777,2.124,0.352
803,0,0.898,1.602,0.192
804,0,0.758,2.103,0.33
805,0,0.766,2.133,0.335
806,0,0.844,1.633,0.222
807,0,0.773,2.017,0.295
808,0,0.836,1.79,0.246
809,0,0.754,2.246,0.359
810,0,0.898,1.453,0.126
811,0,0.758,2.245,0.334
812,0,0.789,2.006,0.298
813,0,0.852,1.774,0.229
814,0,0.758,2.184,0.324
