t,kind,rank,worker,pid,index,wall_ms,cpu_ms,ok,n_in,seq_len,global_step,epoch,local_step,load_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789038362.4996,timeline,3,-1,28343,,,,,,,35.0,0.0,36.0,2183.257,71820.072976,71820.161812,71820.415473,71820.415473,71820.415485
1789038362.6664,timeline,2,-1,28342,,,,,,,36.0,0.0,37.0,0.104,71820.40643,71820.563235,71820.582292,71820.582292,71820.582306
1789038362.6675,timeline,3,-1,28343,,,,,,,36.0,0.0,37.0,0.078,71820.415829,71820.563363,71820.583444,71820.583444,71820.583459
1789038362.6733,timeline,1,-1,28341,,,,,,,36.0,0.0,37.0,0.141,71820.42875,71820.566183,71820.589163,71820.589163,71820.589186
1789038362.6663,timeline,0,-1,28340,,,,,,,36.0,0.0,37.0,0.132,71820.474522,71820.562101,71820.582184,71820.582184,71820.582197
1789038364.0638,timeline,2,-1,28342,,,,,,,37.0,0.0,38.0,0.085,71820.582616,71821.960633,71821.979742,71821.979742,71821.97976
1789038364.0635,timeline,0,-1,28340,,,,,,,37.0,0.0,38.0,0.164,71820.58287,71821.958642,71821.979387,71821.979387,71821.979407
1789038364.0642,timeline,1,-1,28341,,,,,,,37.0,0.0,38.0,0.131,71820.589676,71821.959968,71821.980158,71821.980158,71821.980174
1789038364.064,timeline,3,-1,28343,,,,,,,37.0,0.0,38.0,1283.195,71821.866861,71821.959547,71821.979937,71821.979937,71821.979952
1789038364.5056,timeline,0,-1,28340,,,,,,,38.0,0.0,39.0,0.153,71821.979866,71822.141394,71822.421505,71822.421505,71822.421517
1789038364.4659,timeline,2,-1,28342,,,,,,,38.0,0.0,39.0,0.102,71821.980142,71822.140906,71822.381767,71822.381767,71822.38178
1789038364.4902,timeline,3,-1,28343,,,,,,,38.0,0.0,39.0,0.1,71821.98032,71822.141419,71822.406124,71822.406124,71822.406134
1789038364.4809,timeline,1,-1,28341,,,,,,,38.0,0.0,39.0,0.106,71821.980558,71822.142655,71822.396835,71822.396835,71822.396847
