t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,index,wall_ms,cpu_ms,ok,n_in,seq_len,t_batch,t_fwd,t_bwd,t_opt,t_end,wid
1789041187.6683,sample,3,0,30301,,,,,3566.0,322.477,126.808,True,,,,,,,,3/w0
1789041187.8902,sample,3,0,30301,,,,,3711.0,221.864,50.468,True,,,,,,,,3/w0
1789041188.1597,sample,3,0,30301,,,,,167.0,269.37,42.895,True,,,,,,,,3/w0
1789041188.436,sample,3,0,30301,,,,,1119.0,276.111,29.946,True,,,,,,,,3/w0
1789041188.9178,sample,3,0,30301,,,,,1411.0,481.705,25.127,True,,,,,,,,3/w0
1789041189.2326,sample,3,0,30301,,,,,1251.0,314.717,15.765,True,,,,,,,,3/w0
1789041189.8648,sample,3,0,30301,,,,,2120.0,431.898,141.663,True,,,,,,,,3/w0
1789041190.2423,sample,3,0,30301,,,,,471.0,377.352,47.561,True,,,,,,,,3/w0
1789041190.8532,sample,3,0,30301,,,,,964.0,610.82,44.435,True,,,,,,,,3/w0
1789041191.2104,sample,3,0,30301,,,,,4456.0,357.108,28.656,True,,,,,,,,3/w0
1789041191.4833,sample,3,0,30301,,,,,688.0,272.716,18.772,True,,,,,,,,3/w0
1789041191.9955,sample,3,0,30301,,,,,2876.0,372.827,122.257,True,,,,,,,,3/w0
1789041192.3539,sample,3,0,30301,,,,,1985.0,358.313,53.193,True,,,,,,,,3/w0
1789041192.6964,sample,3,0,30301,,,,,2138.0,342.3,62.242,True,,,,,,,,3/w0
1789041193.2971,sample,3,0,30301,,,,,3340.0,600.612,29.584,True,,,,,,,,3/w0
1789041193.5532,sample,3,0,30301,,,,,4428.0,255.973,19.651,True,,,,,,,,3/w0
1789041193.7607,sample,3,0,30301,,,,,3697.0,207.434,16.722,True,,,,,,,,3/w0
1789041194.2381,sample,3,0,30301,,,,,346.0,338.325,105.928,True,,,,,,,,3/w0
1789041194.6436,sample,3,0,30301,,,,,265.0,405.358,53.637,True,,,,,,,,3/w0
1789041195.0837,sample,3,0,30301,,,,,2533.0,439.946,47.546,True,,,,,,,,3/w0
1789041195.3053,sample,3,0,30301,,,,,181.0,221.476,34.368,True,,,,,,,,3/w0
1789041195.586,sample,3,0,30301,,,,,2963.0,280.622,25.314,True,,,,,,,,3/w0
1789041195.8675,sample,3,0,30301,,,,,3896.0,281.388,13.676,True,,,,,,,,3/w0
1789041196.2827,sample,3,0,30301,,,,,4671.0,282.969,118.322,True,,,,,,,,3/w0
