t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,n_in,seq_len,wall_ms,cpu_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789036479.518,timeline,3,-1,21672,42.0,0.0,43.0,1441.689,,,,,69937.312539,69937.413076,69937.433934,69937.433934,69937.433953
1789036479.6923,timeline,1,-1,21670,43.0,0.0,44.0,0.243,,,,,69937.432346,69937.588894,69937.608212,69937.608212,69937.608225
1789036479.6963,timeline,2,-1,21671,43.0,0.0,44.0,0.152,,,,,69937.433993,69937.591794,69937.612223,69937.612223,69937.612237
1789036479.6985,timeline,0,-1,21669,43.0,0.0,44.0,0.201,,,,,69937.434357,69937.594217,69937.614387,69937.614387,69937.614399
1789036479.6947,timeline,3,-1,21672,43.0,0.0,44.0,0.117,,,,,69937.43438,69937.589474,69937.610582,69937.610582,69937.610596
1789036482.1811,timeline,1,-1,21670,44.0,0.0,45.0,0.1,,,,,69937.608552,69939.849179,69940.097005,69940.097005,69940.097022
1789036482.2884,timeline,0,-1,21669,44.0,0.0,45.0,0.149,,,,,69937.614911,69939.85404,69940.204283,69940.204283,69940.204295
1789036482.24,timeline,2,-1,21671,44.0,0.0,45.0,342.285,,,,,69937.954732,69939.854183,69940.155918,69940.155918,69940.155935
1789036482.2302,timeline,3,-1,21672,44.0,0.0,45.0,2145.867,,,,,69939.756694,69939.849202,69940.146099,69940.146099,69940.14611
1789036482.3955,timeline,1,-1,21670,45.0,0.0,46.0,0.093,,,,,69940.09728,69940.292031,69940.311366,69940.311366,69940.311379
1789036482.3969,timeline,2,-1,21671,45.0,0.0,46.0,0.116,,,,,69940.156235,69940.291938,69940.312774,69940.312774,69940.312788
1789036482.3967,timeline,0,-1,21669,45.0,0.0,46.0,0.134,,,,,69940.204764,69940.292533,69940.312652,69940.312652,69940.312666
1789036482.3973,timeline,3,-1,21672,45.0,0.0,46.0,58.553,,,,,69940.204849,69940.29254,69940.313242,69940.313242,69940.313254
1789036484.2227,timeline,1,-1,21670,46.0,0.0,47.0,0.099,,,,,69940.311712,69942.118985,69942.13863,69942.13863,69942.138648
1789036484.2361,timeline,0,-1,21669,46.0,0.0,47.0,0.133,,,,,69940.313067,69942.124379,69942.151973,69942.151973,69942.152024
1789036484.2269,timeline,2,-1,21671,46.0,0.0,47.0,0.107,,,,,69940.313153,69942.120499,69942.142749,69942.142749,69942.142774
1789036484.2249,timeline,3,-1,21672,46.0,0.0,47.0,1716.064,,,,,69942.029545,69942.119431,69942.14085,69942.14085,69942.140867
1789036485.4001,timeline,1,-1,21670,47.0,0.0,48.0,0.097,,,,,69942.13902,69943.072189,69943.316014,69943.316014,69943.31603
1789036485.4408,timeline,2,-1,21671,47.0,0.0,48.0,0.132,,,,,69942.14325,69943.09242,69943.35675,69943.35675,69943.356765
1789036485.4874,timeline,0,-1,21669,47.0,0.0,48.0,0.501,,,,,69942.152839,69943.074382,69943.403302,69943.403302,69943.403357
1789036485.4056,timeline,3,-1,21672,47.0,0.0,48.0,842.656,,,,,69942.983753,69943.072217,69943.321517,69943.321517,69943.321533
1789036486.3562,timeline,1,-1,21670,48.0,0.0,49.0,0.109,,,,,69943.316485,69944.252466,69944.272156,69944.272156,69944.272169
1789036486.3583,timeline,2,-1,21671,48.0,0.0,49.0,0.133,,,,,69943.357081,69944.252619,69944.274221,69944.274221,69944.274236
