t,kind,rank,worker,pid,global_step,epoch,local_step,load_ms,n_in,seq_len,wall_ms,cpu_ms,t_batch,t_fwd,t_bwd,t_opt,t_end
1789037070.8513,collate,3,1,22075,,,,,5.0,1.0,23.469,23.417,,,,,
1789037073.2606,collate,3,1,22075,,,,,6.0,1.0,34.985,34.924,,,,,
1789037075.929,collate,3,1,22075,,,,,7.0,1.0,24.981,24.924,,,,,
1789037078.5477,collate,3,1,22075,,,,,6.0,1.0,38.405,38.371,,,,,
1789037080.9715,collate,3,1,22075,,,,,6.0,1.0,56.049,55.936,,,,,
1789037082.2654,collate,3,1,22075,,,,,2.0,1.0,22.832,22.809,,,,,
1789037084.071,collate,3,1,22075,,,,,4.0,1.0,47.92,47.85,,,,,
1789037086.1649,collate,3,1,22075,,,,,6.0,1.0,41.36,41.224,,,,,
1789037088.3389,collate,3,1,22075,,,,,4.0,1.0,129.467,129.252,,,,,
1789037091.656,collate,3,1,22075,,,,,7.0,1.0,83.712,83.529,,,,,
1789037094.5461,collate,3,1,22075,,,,,7.0,1.0,34.499,34.444,,,,,
1789037095.9562,collate,3,1,22075,,,,,3.0,1.0,47.473,47.353,,,,,
1789037098.5261,collate,3,1,22075,,,,,6.0,1.0,108.966,108.764,,,,,
1789037101.0157,collate,3,1,22075,,,,,5.0,1.0,81.717,81.554,,,,,
1789037103.1677,collate,3,1,22075,,,,,6.0,1.0,33.144,33.11,,,,,
1789037106.5469,collate,3,1,22075,,,,,7.0,1.0,53.709,53.532,,,,,
1789037108.9958,collate,3,1,22075,,,,,5.0,1.0,32.517,32.469,,,,,
1789037111.3819,collate,3,1,22075,,,,,5.0,1.0,111.777,111.523,,,,,
1789037113.6757,collate,3,1,22075,,,,,5.0,1.0,74.275,74.11,,,,,
1789037116.396,collate,3,1,22075,,,,,7.0,1.0,72.02,71.888,,,,,
1789037118.6089,collate,3,1,22075,,,,,5.0,1.0,60.789,60.701,,,,,
1789037120.6788,collate,3,1,22075,,,,,5.0,1.0,62.613,62.507,,,,,
1789037123.5475,collate,3,1,22075,,,,,7.0,1.0,39.016,38.96,,,,,
1789037125.6305,collate,3,1,22075,,,,,5.0,1.0,37.642,37.54,,,,,
1789037128.0852,collate,3,1,22075,,,,,6.0,1.0,73.214,73.071,,,,,
1789037131.1912,collate,3,1,22075,,,,,8.0,1.0,111.532,111.292,,,,,
1789037133.2029,collate,3,1,22075,,,,,5.0,1.0,46.424,46.361,,,,,
1789037135.0786,collate,3,1,22075,,,,,5.0,1.0,35.88,35.832,,,,,
1789037137.244,collate,3,1,22075,,,,,4.0,1.0,81.819,81.703,,,,,
1789037139.6297,collate,3,1,22075,,,,,6.0,1.0,32.79,32.703,,,,,
1789037142.0605,collate,3,1,22075,,,,,6.0,1.0,102.097,101.926,,,,,
1789037143.9977,collate,3,1,22075,,,,,4.0,1.0,143.747,143.458,,,,,
1789037146.3532,collate,3,1,22075,,,,,6.0,1.0,53.925,53.815,,,,,
1789037149.0701,collate,3,1,22075,,,,,7.0,1.0,33.996,33.934,,,,,
1789037151.4524,collate,3,1,22075,,,,,6.0,1.0,71.039,70.891,,,,,
1789037153.6725,collate,3,1,22075,,,,,6.0,1.0,40.822,40.732,,,,,
1789037156.4315,collate,3,1,22075,,,,,7.0,1.0,24.635,24.601,,,,,
1789037159.3226,collate,3,1,22075,,,,,7.0,1.0,23.687,23.656,,,,,
1789037161.4057,collate,3,1,22075,,,,,5.0,1.0,33.319,33.275,,,,,
1789037163.2317,collate,3,1,22075,,,,,5.0,1.0,27.03,26.98,,,,,
1789037165.5644,collate,3,1,22075,,,,,6.0,1.0,35.788,35.69,,,,,
1789037167.8776,collate,3,1,22075,,,,,6.0,1.0,38.029,37.966,,,,,
1789037169.9469,collate,3,1,22075,,,,,5.0,1.0,34.541,34.491,,,,,
1789037172.5155,collate,3,1,22075,,,,,6.0,1.0,28.95,28.899,,,,,
1789037174.3611,collate,3,1,22075,,,,,4.0,1.0,38.94,38.872,,,,,
1789037177.3568,collate,3,1,22075,,,,,6.0,1.0,49.518,49.45,,,,,
1789037179.6925,collate,3,1,22075,,,,,5.0,1.0,33.4,33.356,,,,,
1789037182.3064,collate,3,1,22075,,,,,7.0,1.0,25.826,25.791,,,,,
1789037183.9928,collate,3,1,22075,,,,,4.0,1.0,31.025,30.979,,,,,
1789037186.5139,collate,3,1,22075,,,,,6.0,1.0,60.147,60.017,,,,,
1789037189.158,collate,3,1,22075,,,,,7.0,1.0,35.388,35.313,,,,,
1789037192.2397,collate,3,1,22075,,,,,7.0,1.0,38.821,38.765,,,,,
1789037194.8963,collate,3,1,22075,,,,,6.0,1.0,65.942,65.836,,,,,
